id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_tanaman,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,756,KILOGRAM/HEKTAR,2017
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,480,KILOGRAM/HEKTAR,2017
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,363,KILOGRAM/HEKTAR,2017
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,789,KILOGRAM/HEKTAR,2017
5,32,JAWA BARAT,3205,KABUPATEN GARUT,936,KILOGRAM/HEKTAR,2017
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1200,KILOGRAM/HEKTAR,2017
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,KILOGRAM/HEKTAR,2017
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,KILOGRAM/HEKTAR,2017
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KILOGRAM/HEKTAR,2017
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,329,KILOGRAM/HEKTAR,2017
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,520,KILOGRAM/HEKTAR,2017
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KILOGRAM/HEKTAR,2017
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,649,KILOGRAM/HEKTAR,2017
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KILOGRAM/HEKTAR,2017
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KILOGRAM/HEKTAR,2017
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KILOGRAM/HEKTAR,2017
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,443,KILOGRAM/HEKTAR,2017
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KILOGRAM/HEKTAR,2017
19,32,JAWA BARAT,3271,KOTA BOGOR,0,KILOGRAM/HEKTAR,2017
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KILOGRAM/HEKTAR,2017
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,KILOGRAM/HEKTAR,2017
22,32,JAWA BARAT,3274,KOTA CIREBON,0,KILOGRAM/HEKTAR,2017
23,32,JAWA BARAT,3275,KOTA BEKASI,0,KILOGRAM/HEKTAR,2017
24,32,JAWA BARAT,3276,KOTA DEPOK,0,KILOGRAM/HEKTAR,2017
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,KILOGRAM/HEKTAR,2017
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,KILOGRAM/HEKTAR,2017
27,32,JAWA BARAT,3279,KOTA BANJAR,0,KILOGRAM/HEKTAR,2017
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,833,KILOGRAM/HEKTAR,2018
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,276,KILOGRAM/HEKTAR,2018
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,345,KILOGRAM/HEKTAR,2018
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,813,KILOGRAM/HEKTAR,2018
32,32,JAWA BARAT,3205,KABUPATEN GARUT,961,KILOGRAM/HEKTAR,2018
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,776,KILOGRAM/HEKTAR,2018
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,800,KILOGRAM/HEKTAR,2018
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,50,KILOGRAM/HEKTAR,2018
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KILOGRAM/HEKTAR,2018
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,247,KILOGRAM/HEKTAR,2018
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,627,KILOGRAM/HEKTAR,2018
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KILOGRAM/HEKTAR,2018
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,649,KILOGRAM/HEKTAR,2018
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KILOGRAM/HEKTAR,2018
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KILOGRAM/HEKTAR,2018
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KILOGRAM/HEKTAR,2018
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1050,KILOGRAM/HEKTAR,2018
